('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         646801 function calls (620515 primitive calls) in 1.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 request.py:909(HTTPPasswordMgrWithPriorAuth)
        2    0.000    0.000    0.108    0.054 connection.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.271    0.271 _client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
      305    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
      181    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       40    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
        1    0.000    0.000    0.004    0.004 ssl.py:91(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2139(__init__)
        2    0.000    0.000    0.000    0.000 http_proxy.py:1(<module>)
        2    0.000    0.000    0.124    0.062 __init__.py:2(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
        2    0.000    0.000    0.018    0.009 _utils.py:1(<module>)
       68    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
        1    0.000    0.000    0.000    0.000 abnf_regexp.py:14(<module>)
        2    0.000    0.000    0.085    0.043 _synchronization.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1168(_parse_octet)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        1    0.000    0.000    0.036    0.036 request.py:68(<module>)
        1    0.000    0.000    0.002    0.002 inspect.py:27(<module>)
        1    0.000    0.000    0.001    0.001 _status_codes.py:1(<module>)
      173    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.758    0.758 financial_enhanced.py:27(get_row)
       23    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      219    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        5    0.000    0.000    0.000    0.000 inspect.py:2117(_signature_from_function)
       23    0.000    0.000    0.000    0.000 _receivebuffer.py:86(maybe_extract_next_line)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       47    0.000    0.000    0.000    0.000 _util.py:83(validate)
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       63    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       38    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      154    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
      218    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
      130    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       19    0.000    0.000    0.000    0.000 ipaddress.py:1484(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        2    0.000    0.000    0.004    0.002 _streams.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cd.py:1(<module>)
       66    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
        1    0.000    0.000    0.001    0.001 _client.py:155(BaseClient)
       90    0.000    0.000    0.000    0.000 _models.py:23(enforce_bytes)
        1    0.000    0.000    0.000    0.000 _fileio.py:226(Path)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       67    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       39    0.000    0.000    0.000    0.000 typing.py:685(__mro_entries__)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       41    0.000    0.000    0.019    0.000 element.py:1871(find_all)
       38    0.000    0.000    0.000    0.000 message.py:393(__setitem__)
        1    0.000    0.000    0.062    0.062 _fileio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:535(_split_addr_prefix)
        1    0.000    0.000    0.009    0.009 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.036    0.036 ssl.py:813(_create)
        2    0.000    0.000    0.000    0.000 _models.py:161(<listcomp>)
        1    0.000    0.000    0.027    0.027 _content.py:1(<module>)
      257    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        8    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
        1    0.000    0.000    0.002    0.002 _types.py:3(<module>)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       15    0.000    0.000    0.001    0.000 dataclasses.py:526(_repr_fn)
        3    0.000    0.000    0.000    0.000 _receivebuffer.py:103(maybe_extract_lines)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       13    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.001    0.001 quoprimime.py:27(<module>)
        2    0.000    0.000    0.000    0.000 _models.py:79(<listcomp>)
        1    0.000    0.000    0.027    0.027 base_events.py:14(<module>)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
       15    0.000    0.000    0.033    0.002 css_parser.py:308(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      150    0.000    0.000    0.000    0.000 os.py:758(decode)
       40    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       23    0.000    0.000    0.000    0.000 enum.py:64(__init__)
        1    0.000    0.000    0.006    0.006 cookiejar.py:26(<module>)
      165    0.000    0.000    0.000    0.000 dataclasses.py:378(<genexpr>)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1877(__init__)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytearray' objects}
       67    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.039    0.039 from_thread.py:1(<module>)
       39    0.000    0.000    0.008    0.000 element.py:1846(find)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
        2    0.000    0.000    0.000    0.000 connection_pool.py:1(<module>)
  127/126    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
       10    0.000    0.000    0.000    0.000 inspect.py:2750(__init__)
       15    0.000    0.000    0.000    0.000 dataclasses.py:345(_recursive_repr)
        1    0.000    0.000    0.035    0.035 css_parser.py:431(CSSParser)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.007    0.007 shutil.py:5(<module>)
        7    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.001    0.001 _compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 from_thread.py:147(BlockingPortal)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
        8    0.000    0.000    0.000    0.000 enum.py:805(_create_pseudo_member_)
        3    0.000    0.000    0.000    0.000 _models.py:76(<listcomp>)
        1    0.000    0.000    0.442    0.442 http11.py:55(handle_request)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      284    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      337    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       76    0.000    0.000    0.000    0.000 os.py:699(__iter__)
      149    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        6    0.000    0.000    0.000    0.000 normalizers.py:145(encode_component)
        2    0.000    0.000    0.012    0.006 http11.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _headers.py:119(normalize_and_validate)
        1    0.000    0.000    0.020    0.020 client.py:69(<module>)
        1    0.000    0.000    0.000    0.000 _models.py:432(Response)
        1    0.000    0.000    0.037    0.037 misc.py:20(<module>)
        2    0.000    0.000    0.001    0.000 _exceptions.py:1(<module>)
       82    0.000    0.000    0.000    0.000 os.py:754(encode)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _eventloop.py:1(<module>)
       48    0.000    0.000    0.000    0.000 dataclasses.py:739(_set_new_attribute)
      140    0.000    0.000    0.000    0.000 typing_extensions.py:138(<listcomp>)
      149    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       76    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
       86    0.000    0.000    0.000    0.000 re.py:254(escape)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
       37    0.000    0.000    0.000    0.000 dataclasses.py:309(field)
       21    0.000    0.000    0.000    0.000 _readers.py:55(_decode_header_lines)
        1    0.000    0.000    0.042    0.042 dammit.py:8(<module>)
       67    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       38    0.000    0.000    0.001    0.000 typing.py:1202(_alias)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       62    0.000    0.000    0.000    0.000 _status_codes.py:24(__new__)
        1    0.000    0.000    0.075    0.075 connection.py:92(_connect)
        2    0.000    0.000    0.002    0.001 _subprocesses.py:1(<module>)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       98    0.000    0.000    0.000    0.000 typing.py:832(<genexpr>)
       58    0.000    0.000    0.000    0.000 _utils.py:30(normalize_header_key)
        6    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.001    0.001 dataclasses.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 request.py:2489(getproxies_environment)
        1    0.000    0.000    0.000    0.000 base.py:10(BaseTransport)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1605(_make_netmask)
        1    0.000    0.000    0.069    0.069 __init__.py:27(<module>)
        2    0.000    0.000    0.000    0.000 _tasks.py:1(<module>)
       40    0.000    0.000    0.000    0.000 functools.py:458(lru_cache)
        1    0.000    0.000    0.519    0.519 _client.py:989(_send_single_request)
       14    0.000    0.000    0.000    0.000 inspect.py:2467(__init__)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.000    0.000 resources.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1294(__init__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       41    0.000    0.000    0.000    0.000 element.py:2278(__init__)
        1    0.000    0.000    0.000    0.000 css_match.py:481(CSSMatch)
        1    0.000    0.000    0.008    0.008 css_match.py:1(<module>)
       99    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
        1    0.000    0.000    0.000    0.000 models.py:23(CharsetMatch)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
      101    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       10    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.040    0.040 socket.py:691(create_connection)
        1    0.000    0.000    0.003    0.003 threading.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _models.py:1189(info)
        1    0.000    0.000    0.002    0.002 _config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_events.py:357(BaseEventLoop)
        1    0.000    0.000    0.003    0.003 unix_events.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _readers.py:19(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
       68    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      110    0.000    0.000    0.000    0.000 enum.py:628(name)
       35    0.000    0.000    0.000    0.000 enum.py:912(_power_of_two)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.518    0.518 default.py:199(handle_request)
        1    0.000    0.000    0.121    0.121 default.py:25(<module>)
       37    0.000    0.000    0.000    0.000 dataclasses.py:403(_field_init)
        1    0.000    0.000    0.000    0.000 css_match.py:78(_DocumentNav)
        1    0.000    0.000    0.001    0.001 models.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _client.py:156(__init__)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.007    0.007 tempfile.py:24(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 _status_codes.py:4(codes)
        1    0.000    0.000    0.001    0.001 selector_events.py:5(<module>)
        1    0.000    0.000    0.008    0.008 _connection.py:4(<module>)
      162    0.000    0.000    0.000    0.000 _events.py:73(_validate)
        1    0.000    0.000    0.000    0.000 {method 'register' of 'select.poll' objects}
       22    0.000    0.000    0.000    0.000 enum.py:340(__getattr__)
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        7    0.000    0.000    0.000    0.000 _models.py:207(__getitem__)
        1    0.000    0.000    0.001    0.001 _models.py:1168(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1729(_parse_hextet)
        1    0.000    0.000    0.015    0.015 events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _readers.py:83(maybe_read_from_SEND_RESPONSE_server)
        1    0.000    0.000    0.000    0.000 _writers.py:31(write_request)
        1    0.000    0.000    0.070    0.070 __init__.py:120(__init__)
        1    0.000    0.000    0.115    0.115 element.py:2(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:412(urlsplit)
        5    0.000    0.000    0.000    0.000 inspect.py:3035(__str__)
        1    0.000    0.000    0.000    0.000 _fileio.py:40(AsyncFile)
        1    0.000    0.000    0.001    0.001 lowlevel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tls.py:1(<module>)
        1    0.000    0.000    0.001    0.001 memory.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mock.py:1(<module>)
        1    0.000    0.000    0.124    0.124 __init__.py:15(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:21(<module>)
        1    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
      135    0.000    0.000    0.000    0.000 enum.py:664(<lambda>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:3(<module>)
       17    0.000    0.000    0.000    0.000 _mixin.py:15(authority_info)
        1    0.000    0.000    0.517    0.517 connection.py:54(handle_request)
        1    0.000    0.000    0.000    0.000 _state.py:114(<module>)
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:2(<module>)
      131    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.137    0.137 _auth.py:1(<module>)
        1    0.000    0.000    0.008    0.008 utils.py:5(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.049    0.049 _urls.py:1(<module>)
        1    0.000    0.000    0.002    0.002 coroutines.py:1(<module>)
        2    0.000    0.000    0.000    0.000 interfaces.py:1(<module>)
        1    0.000    0.000    0.005    0.005 css_types.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.001    0.001 _config.py:151(_create_default_ssl_context)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        8    0.000    0.000    0.000    0.000 _models.py:59(__init__)
       37    0.000    0.000    0.000    0.000 dataclasses.py:233(__init__)
       15    0.000    0.000    0.005    0.000 dataclasses.py:1001(wrap)
        2    0.000    0.000    0.000    0.000 _testing.py:1(<module>)
       59    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.010    0.010 _config.py:98(load_ssl_context_verify)
       38    0.000    0.000    0.000    0.000 _policybase.py:201(header_max_count)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.001    0.001 _exceptions.py:32(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _urls.py:13(URL)
       33    0.000    0.000    0.000    0.000 dataclasses.py:391(_field_assign)
        6    0.000    0.000    0.001    0.000 dataclasses.py:537(_frozen_get_del_attr)
       47    0.000    0.000    0.000    0.000 ipaddress.py:631(__init__)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1142(_ip_int_from_string)
        1    0.000    0.000    0.001    0.001 subprocess.py:42(<module>)
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
        1    0.000    0.000    0.040    0.040 sync.py:75(connect_tcp)
       45    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        2    0.000    0.000    0.000    0.000 ssl.py:460(set_alpn_protocols)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _models.py:54(Headers)
        1    0.000    0.000    0.002    0.002 cgi.py:16(<module>)
        7    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
        1    0.000    0.000    0.012    0.012 _impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _urls.py:555(QueryParams)
        1    0.000    0.000    0.041    0.041 iri.py:1(<module>)
       30    0.000    0.000    0.000    0.000 dataclasses.py:457(_init_param)
       15    0.000    0.000    0.000    0.000 dataclasses.py:849(<listcomp>)
        1    0.000    0.000    0.000    0.000 streams.py:2(<module>)
        7    0.000    0.000    0.000    0.000 _headers.py:169(get_comma_header)
        1    0.000    0.000    0.002    0.002 _headers.py:1(<module>)
        1    0.000    0.000    0.517    0.517 connection_pool.py:200(handle_request)
       80    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       40    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       63    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
       62    0.000    0.000    0.000    0.000 enum.py:203(<genexpr>)
      130    0.000    0.000    0.000    0.000 typing.py:176(<listcomp>)
        1    0.000    0.000    0.001    0.001 request.py:325(__init__)
       10    0.000    0.000    0.000    0.000 inspect.py:484(unwrap)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
        1    0.000    0.000    0.001    0.001 _decoders.py:5(<module>)
        2    0.000    0.000    0.000    0.000 iri.py:103(encode)
       39    0.000    0.000    0.000    0.000 dataclasses.py:584(_is_classvar)
        1    0.000    0.000    0.058    0.058 to_thread.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
       14    0.000    0.000    0.014    0.001 css_parser.py:1156(process_selectors)
        1    0.000    0.000    0.043    0.043 formatter.py:1(<module>)
        1    0.000    0.000    0.002    0.002 md.py:1(<module>)
    31/16    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        9    0.000    0.000    0.000    0.000 typing.py:814(__new__)
        2    0.000    0.000    0.000    0.000 typing.py:1342(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 _client.py:126(close)
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
        5    0.000    0.000    0.000    0.000 inspect.py:1799(_signature_bound_method)
        2    0.000    0.000    0.000    0.000 _utils.py:234(get_logger)
       18    0.000    0.000    0.000    0.000 dataclasses.py:331(_tuple_str)
       15    0.000    0.000    0.000    0.000 dataclasses.py:494(<dictcomp>)
       44    0.000    0.000    0.000    0.000 typing_extensions.py:1750(_is_unpack)
        1    0.000    0.000    0.000    0.000 futures.py:32(Future)
        1    0.000    0.000    0.000    0.000 tls.py:22(TLSAttribute)
        1    0.000    0.000    0.000    0.000 element.py:150(PageElement)
        1    0.000    0.000    0.002    0.002 pretty.py:67(<module>)
        2    0.000    0.000    0.000    0.000 base.py:1(<module>)
        1    0.000    0.000    1.394    1.394 financial_enhanced.py:1(<module>)
        1    0.000    0.000    0.666    0.666 _api.py:23(request)
       42    0.000    0.000    0.000    0.000 typing.py:547(<genexpr>)
       10    0.000    0.000    0.000    0.000 typing.py:718(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 typing.py:1366(__new__)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.012    0.012 _policybase.py:4(<module>)
        1    0.000    0.000    0.003    0.003 header.py:5(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _models.py:996(Cookies)
        1    0.000    0.000    0.023    0.023 _multipart.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _urls.py:73(__init__)
        1    0.000    0.000    0.043    0.043 __init__.py:23(<module>)
        2    0.000    0.000    0.000    0.000 iri.py:83(from_string)
        1    0.000    0.000    0.001    0.001 uri.py:1(<module>)
        1    0.000    0.000    0.001    0.001 asgi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:25(HTTPConnection)
        2    0.000    0.000    0.000    0.000 _resources.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:9(<module>)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:702(__new__)
        1    0.000    0.000    0.000    0.000 lowlevel.py:90(RunVar)
        1    0.000    0.000    0.000    0.000 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 base_tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _connection.py:128(__init__)
        1    0.000    0.000    0.003    0.003 _events.py:8(<module>)
       32    0.000    0.000    0.000    0.000 element.py:1335(string)
        1    0.000    0.000    0.004    0.004 parser.py:1(<module>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fc39e7aba70}
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7fc3a08177a0}
        7    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        3    0.000    0.000    0.000    0.000 types.py:237(coroutine)
       63    0.000    0.000    0.000    0.000 enum.py:360(<genexpr>)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.013    0.013 feedparser.py:20(<module>)
        1    0.000    0.000    0.007    0.007 socket.py:735(getaddrinfo)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
        5    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
        1    0.000    0.000    0.000    0.000 _utils.py:23(<dictcomp>)
       15    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1116(_make_netmask)
        2    0.000    0.000    0.000    0.000 _typedattr.py:28(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _subprocesses.py:9(Process)
        1    0.000    0.000    0.000    0.000 locks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.036    0.036 sync.py:42(start_tls)
        1    0.000    0.000    0.001    0.001 sync.py:1(<module>)
        1    0.000    0.000    0.000    0.000 http11.py:37(HTTP11Connection)
        1    0.000    0.000    0.009    0.009 __init__.py:9(<module>)
        9    0.000    0.000    0.000    0.000 _connection.py:277(_get_io_object)
        1    0.000    0.000    0.000    0.000 connection_pool.py:39(AsyncConnectionPool)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _client.py:318(build_request)
        1    0.000    0.000    0.013    0.013 _client.py:621(__init__)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:801(SSLSocket)
        7    0.000    0.000    0.000    0.000 _models.py:217(<listcomp>)
        1    0.000    0.000    0.000    0.000 pathlib.py:620(PurePath)
       15    0.000    0.000    0.000    0.000 dataclasses.py:910(<listcomp>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 subprocess.py:633(Popen)
        1    0.000    0.000    0.000    0.000 events.py:210(AbstractEventLoop)
        7    0.000    0.000    0.000    0.000 _trace.py:8(__init__)
        3    0.000    0.000    0.000    0.000 _connection.py:474(send_with_data_passthrough)
       21    0.000    0.000    0.000    0.000 _readers.py:35(_obsolete_line_fold)
        1    0.000    0.000    0.000    0.000 _writers.py:10(<module>)
       79    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
        1    0.000    0.000    0.000    0.000 element.py:1172(Tag)
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
       41    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        7    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
        1    0.000    0.000    0.666    0.666 _api.py:167(get)
       10    0.000    0.000    0.000    0.000 typing.py:715(__instancecheck__)
        1    0.000    0.000    0.000    0.000 parseresult.py:15(<module>)
        1    0.000    0.000    0.000    0.000 request.py:307(request_host)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        2    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        1    0.000    0.000    0.000    0.000 _models.py:433(__init__)
        1    0.000    0.000    0.002    0.002 _models.py:554(text)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1240(CookieJar)
        7    0.000    0.000    0.000    0.000 pathlib.py:709(__str__)
        6    0.000    0.000    0.000    0.000 __init__.py:1928(getLogger)
        2    0.000    0.000    0.000    0.000 _decoders.py:196(flush)
        1    0.000    0.000    0.000    0.000 intranges.py:6(<module>)
        1    0.000    0.000    0.010    0.010 default.py:113(__init__)
       15    0.000    0.000    0.000    0.000 dataclasses.py:519(<listcomp>)
       39    0.000    0.000    0.000    0.000 dataclasses.py:592(_is_initvar)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2214(_IPv6Constants)
        1    0.000    0.000    0.003    0.003 _typedattr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 thread.py:4(<module>)
        1    0.000    0.000    0.000    0.000 connection_pool.py:44(__init__)
        2    0.000    0.000    0.000    0.000 connection_pool.py:181(_close_expired_connections)
