('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         646801 function calls (620515 primitive calls) in 1.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6072    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3633    0.001    0.000    0.002    0.000 typing.py:595(_is_dunder)
     1002    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
     1273    0.001    0.000    0.004    0.000 parser.py:352(check_for_whole_start_tag)
      477    0.001    0.000    0.001    0.000 contextlib.py:81(__init__)
  312/311    0.001    0.000    0.003    0.000 _readers.py:137(__call__)
      270    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       25    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
    270/3    0.001    0.000    0.411    0.137 <frozen importlib._bootstrap>:663(_load_unlocked)
     1093    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      164    0.001    0.000    0.001    0.000 _events.py:31(__init__)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      125    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
     4279    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1273    0.001    0.000    0.009    0.000 __init__.py:735(handle_endtag)
        2    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      440    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     5995    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       56    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      313    0.001    0.000    0.008    0.000 _connection.py:382(next_event)
    292/3    0.001    0.000    0.411    0.137 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      195    0.001    0.000    0.127    0.001 sre_compile.py:759(compile)
      440    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      476    0.001    0.000    0.001    0.000 contextlib.py:116(__exit__)
     6600    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      164    0.001    0.000    0.002    0.000 _connection.py:230(_process_event)
     8495    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      152    0.001    0.000    0.554    0.004 sync.py:22(read)
      195    0.001    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
     1006    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
    242/3    0.001    0.000    0.410    0.137 <frozen importlib._bootstrap_external>:722(exec_module)
     1273    0.001    0.000    0.010    0.000 _htmlparser.py:177(handle_endtag)
     2593    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      313    0.001    0.000    0.005    0.000 _connection.py:356(_extract_next_receive_event)
      160    0.001    0.000    0.126    0.001 http11.py:160(_receive_response_body)
      365    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
     1802    0.001    0.000    0.001    0.000 element.py:2059(_normalize_search_value)
      267    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     8427    0.001    0.000    0.001    0.000 element.py:1532(__bool__)
     1161    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:925(parse_selectors)
      477    0.001    0.000    0.001    0.000 contextlib.py:107(__enter__)
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
  238/164    0.001    0.000    0.007    0.000 typing.py:340(__getitem__)
     6410    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      361    0.001    0.000    0.001    0.000 enum.py:71(__setitem__)
      798    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
     2585    0.001    0.000    0.001    0.000 typing.py:322(__hash__)
        1    0.001    0.001    0.001    0.001 css_types.py:323(SelectorLang)
      270    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1486    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     4176    0.001    0.000    0.001    0.000 element.py:1906(descendants)
      242    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     1006    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     3119    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      433    0.001    0.000    0.001    0.000 __init__.py:592(object_was_parsed)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     1202    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     3119    0.001    0.000    0.001    0.000 abc.py:137(__instancecheck__)
     1273    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
      494    0.001    0.000    0.001    0.000 enum.py:381(__setattr__)
       28    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.001    0.001    0.001    0.001 selector_events.py:47(BaseSelectorEventLoop)
      138    0.001    0.000    0.003    0.000 typing.py:180(_subs_tvars)
      157    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      195    0.001    0.000    0.078    0.000 sre_parse.py:913(parse)
        4    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      504    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      297    0.001    0.000    0.001    0.000 typing_extensions.py:121(_collect_type_vars)
      682    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       17    0.001    0.000    0.706    0.042 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1162(time)
        5    0.000    0.000    0.133    0.027 {method 'join' of 'bytes' objects}
       77    0.000    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
     3970    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      164    0.000    0.000    0.001    0.000 typing.py:212(_remove_dups_flatten)
  805/562    0.000    0.000    0.183    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      195    0.000    0.000    0.001    0.000 enum.py:841(__and__)
      721    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     1129    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
  270/269    0.000    0.000    0.042    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      164    0.000    0.000    0.001    0.000 _state.py:258(_fire_state_triggered_transitions)
      444    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
     2533    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      477    0.000    0.000    0.002    0.000 contextlib.py:237(helper)
      160    0.000    0.000    0.127    0.001 _models.py:850(iter_raw)
      433    0.000    0.000    0.002    0.000 element.py:934(__new__)
      421    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      138    0.000    0.000    0.004    0.000 typing.py:626(__getitem__)
      159    0.000    0.000    0.133    0.001 _models.py:795(iter_bytes)
     1274    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
      604    0.000    0.000    0.004    0.000 enum.py:289(__call__)
       23    0.000    0.000    0.001    0.000 enum.py:182(<setcomp>)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      321    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      487    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       80    0.000    0.000    0.001    0.000 functools.py:37(update_wrapper)
     1285    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      318    0.000    0.000    0.001    0.000 _receivebuffer.py:76(maybe_extract_at_most)
      267    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      792    0.000    0.000    0.000    0.000 _connection.py:182(their_state)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1891    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      383    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      222    0.000    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
      726    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
